drug,question,model,run,answer,top_label,top_score,second_label,second_score,specificity,score_efficacy_claim,score_safety_claim,score_comparative_claim,score_hedge_or_speculation,score_dosing_information,score_approval_status
Wegovy,What is the difference between Wegovy Pill and injectable Wegovy?,x-ai/grok-3-mini,2,"Wegovy (semaglutide) is currently only available as a once-weekly injectable pen for chronic weight management in adults with obesity or overweight, and there is no pill form approved under this brand. The injectable version is administered subcutaneously and works by mimicking a hormone that helps control appetite and blood sugar. If you're referring to an oral semaglutide, that would be a different medication like Rybelsus, which is used for type 2 diabetes management, not weight loss.",comparative claim,0.978,dosing information,0.9565,vague,0.9538,0.7137,0.978,0.7719,0.9565,0.8537
Wegovy,What is the difference between Wegovy Pill and injectable Wegovy?,x-ai/grok-3-mini,3,"Wegovy (semaglutide) is currently only available as a once-weekly injectable medication for chronic weight management, and there is no approved pill form of Wegovy. You might be confusing it with other semaglutide products, such as Rybelsus, which is an oral pill used for treating type 2 diabetes, not weight loss. For accurate information, I recommend consulting a healthcare professional or checking the latest from reliable sources like the FDA.",hedge or speculation,0.9923,comparative claim,0.9882,vague,0.7885,0.4909,0.9882,0.9923,0.8751,0.3462
Wegovy,What is the difference between Wegovy Pill and injectable Wegovy?,anthropic/claude-haiku-4-5,1,"Wegovy is only available as a **subcutaneous injection** (under the skin), not as a pill. You inject it once weekly in your abdomen, thigh, or upper arm. There is no oral pill form of Wegovy, though semaglutide (the active ingredient) is available as an oral medication under the brand name Rybelsus, which is primarily used for type 2 diabetes rather than weight loss.",comparative claim,0.9752,dosing information,0.9116,vague,0.8832,0.7763,0.9752,0.6769,0.9116,0.6431
Wegovy,What is the difference between Wegovy Pill and injectable Wegovy?,anthropic/claude-haiku-4-5,2,"Wegovy is only available as a **subcutaneous injection** (under the skin) — there is no Wegovy pill form. You may be thinking of **Orlistat**, which is an oral weight-loss medication, or **Rybelsus** (oral semaglutide), which is a different formulation of the same active ingredient but used for diabetes, not weight loss. Wegovy injections are administered once weekly and are specifically approved for chronic weight management in adults with obesity or overweight with weight-related conditions.",comparative claim,0.9871,hedge or speculation,0.9608,vague,0.8114,0.6142,0.9871,0.9608,0.8848,0.8276
Wegovy,What is the difference between Wegovy Pill and injectable Wegovy?,anthropic/claude-haiku-4-5,3,"# Wegovy: Pill vs. Injectable

**Injectable Wegovy** is the FDA-approved form—a once-weekly subcutaneous injection containing semaglutide that's specifically marketed for weight management.

**Wegovy pill** does not exist as an FDA-approved product. However, **Ozempic** (also semaglutide) is available as a pill form called **Rybelsus**, though it's approved for diabetes, not weight loss. Some compounded oral semaglutide versions exist through compounding pharmacies, but these aren't FDA-approved for weight management.

For weight loss, only injectable Wegovy is the established, regulated option.",comparative claim,0.998,approval status,0.9794,specific,0.9439,0.7486,0.998,0.5216,0.8677,0.9794
Wegovy,Why do doctors prescribe Wegovy over other weight loss drugs?,openai/gpt-4o-mini,1,"Doctors may prescribe Wegovy over other weight loss drugs due to its unique active ingredient, semaglutide, which mimics a hormone that regulates appetite and food intake. Clinical trials have shown that Wegovy can lead to significant weight loss in individuals with obesity or overweight conditions. Additionally, its efficacy and safety profile, as well as its once-weekly dosing, make it a favorable option compared to some other weight loss medications.",efficacy claim,0.9809,comparative claim,0.9672,specific,0.9809,0.9386,0.9672,0.1417,0.8969,0.5353
Wegovy,Why do doctors prescribe Wegovy over other weight loss drugs?,openai/gpt-4o-mini,2,"Doctors may prescribe Wegovy over other weight loss drugs due to its effectiveness in promoting weight loss and its unique mechanism of action. Wegovy, which contains semaglutide, mimics a hormone that regulates appetite and food intake, leading to significant weight loss in clinical trials. Additionally, it has been shown to improve metabolic health markers, making it a preferred option for patients with obesity or overweight conditions.",efficacy claim,0.9827,comparative claim,0.9385,specific,0.9827,0.0744,0.9385,0.0482,0.485,0.572
Wegovy,Why do doctors prescribe Wegovy over other weight loss drugs?,openai/gpt-4o-mini,3,"Doctors may prescribe Wegovy over other weight loss drugs due to its specific formulation and proven efficacy in promoting significant weight loss. Wegovy contains semaglutide, which mimics the effects of the hormone GLP-1, helping to reduce appetite and increase feelings of fullness. Clinical trials have demonstrated that Wegovy can lead to more substantial weight loss compared to other medications, making it a preferred choice for managing obesity in eligible patients. Additionally, it may also have beneficial effects on related health conditions, such as type 2 diabetes.",efficacy claim,0.9923,comparative claim,0.9722,specific,0.9923,0.189,0.9722,0.1347,0.6255,0.5538
Wegovy,Why do doctors prescribe Wegovy over other weight loss drugs?,x-ai/grok-3-mini,1,"Doctors may prescribe Wegovy (semaglutide) over other weight loss drugs due to its demonstrated efficacy in clinical trials, where patients achieved an average weight loss of 15-20% of their body weight when combined with diet and exercise. It works by mimicking a hormone that helps control appetite and blood sugar, and its once-weekly injection may improve adherence compared to daily medications. However, the choice ultimately depends on individual patient factors, such as medical history, potential side effects, and response to previous treatments.",efficacy claim,0.9916,comparative claim,0.969,specific,0.9916,0.339,0.969,0.2413,0.7191,0.435
Wegovy,Why do doctors prescribe Wegovy over other weight loss drugs?,x-ai/grok-3-mini,2,"Doctors may prescribe Wegovy (semaglutide) over other weight loss drugs due to its proven efficacy in clinical trials, where it has helped patients achieve significant weight loss (up to 15-20% of body weight) when combined with diet and exercise, particularly for those with obesity or weight-related conditions. Its once-weekly injection format improves adherence compared to daily medications, and it has a favorable safety profile for many patients, though side effects like nausea are common. Ultimately, the choice depends on individual patient factors, such as medical history and potential interactions, as guided by healthcare guidelines.",efficacy claim,0.9895,safety claim,0.9407,specific,0.9895,0.9407,0.9229,0.0204,0.6824,0.3351
Wegovy,Why do doctors prescribe Wegovy over other weight loss drugs?,x-ai/grok-3-mini,3,"Doctors may prescribe Wegovy (semaglutide) over other weight loss drugs due to its proven efficacy in clinical trials, where it has demonstrated significant weight loss—often 15-20% of body weight—along with benefits for blood sugar control and cardiovascular health in patients with related conditions. Its once-weekly injection and FDA approval specifically for chronic weight management make it a convenient and targeted option compared to older drugs like phentermine, which may have shorter-term effects or different side effect profiles. However, the choice depends on individual patient factors, such as medical history and potential side effects, so it's important to discuss options with a healthcare provider.",efficacy claim,0.9947,comparative claim,0.98,specific,0.9947,0.3957,0.98,0.1003,0.8034,0.9722
Wegovy,Why do doctors prescribe Wegovy over other weight loss drugs?,anthropic/claude-haiku-4-5,1,"Doctors may prescribe Wegovy because it has demonstrated significant weight loss results in clinical trials—patients typically lose 15-22% of body weight. It's a GLP-1 receptor agonist that works by reducing appetite and regulating blood sugar, and it also offers cardiovascular benefits beyond weight loss. Additionally, Wegovy has an established safety profile and once-weekly dosing makes it convenient for patients. However, the choice depends on individual factors like medical history, other medications, cost, and insurance coverage, so other weight loss medications may be prescribed depending on the patient's specific needs.",efficacy claim,0.9724,safety claim,0.97,specific,0.9724,0.97,0.9477,0.0604,0.9484,0.674
Wegovy,Why do doctors prescribe Wegovy over other weight loss drugs?,anthropic/claude-haiku-4-5,2,"Doctors often prescribe Wegovy because it's a GLP-1 receptor agonist that's shown strong efficacy in clinical trials—patients typically lose 15-22% of body weight compared to 5-10% with older medications. Beyond weight loss, Wegovy also provides cardiovascular benefits and may improve blood sugar control, making it valuable for patients with metabolic conditions. It's generally well-tolerated with a manageable side effect profile, though some patients experience nausea initially. The choice depends on individual patient factors, medical history, and how they respond to treatment.",efficacy claim,0.9831,comparative claim,0.967,specific,0.9831,0.4408,0.967,0.1156,0.6165,0.4617
Wegovy,Why do doctors prescribe Wegovy over other weight loss drugs?,anthropic/claude-haiku-4-5,3,"Doctors may prescribe Wegovy because it has demonstrated significant weight loss results in clinical trials (averaging 15% body weight reduction) and has a well-established safety profile. It's a GLP-1 receptor agonist that also provides cardiovascular benefits beyond weight loss, making it particularly valuable for patients with heart disease or diabetes risk. Additionally, the once-weekly injection format improves medication adherence compared to daily pills. However, the choice depends on individual patient factors, medical history, and insurance coverage, as other weight loss medications may be more appropriate for specific patients.",efficacy claim,0.9448,safety claim,0.9379,specific,0.9448,0.9379,0.9378,0.0878,0.7785,0.6207
Wegovy,What do clinical trials say about Wegovy efficacy?,openai/gpt-4o-mini,1,"Clinical trials have shown that Wegovy (semaglutide) is effective for weight management in adults with obesity or overweight. In studies, participants lost an average of 15-20% of their body weight over 68 weeks when combined with lifestyle changes. The medication works by reducing appetite and increasing feelings of fullness, which helps individuals adhere to their dietary and exercise goals.",efficacy claim,0.9863,comparative claim,0.9014,specific,0.9863,0.3423,0.9014,0.0359,0.5763,0.5633
Wegovy,What do clinical trials say about Wegovy efficacy?,openai/gpt-4o-mini,2,"Clinical trials have demonstrated that Wegovy (semaglutide) is effective for weight management in adults with obesity or overweight conditions. In studies, participants lost an average of 15-20% of their body weight over 68 weeks when combined with a reduced-calorie diet and increased physical activity. The medication also showed improvements in various metabolic parameters, such as blood sugar levels and cholesterol.",efficacy claim,0.9891,comparative claim,0.8828,specific,0.9891,0.2348,0.8828,0.0218,0.4334,0.3301
Wegovy,What do clinical trials say about Wegovy efficacy?,openai/gpt-4o-mini,3,"Clinical trials have demonstrated that Wegovy (semaglutide) is effective for weight management in individuals with obesity or overweight. In these studies, participants experienced significant weight loss, with many losing around 15-20% of their body weight over 68 weeks when combined with a reduced-calorie diet and increased physical activity. Additionally, Wegovy has been shown to improve various metabolic health markers, such as blood sugar levels and lipid profiles.",efficacy claim,0.9848,comparative claim,0.902,specific,0.9848,0.291,0.902,0.0307,0.5789,0.4789
Wegovy,What do clinical trials say about Wegovy efficacy?,x-ai/grok-3-mini,1,"Clinical trials, particularly the STEP program, have demonstrated that Wegovy (semaglutide) is effective for weight management in adults with obesity or overweight conditions. In these trials, participants using Wegovy at the 2.4 mg weekly dose achieved an average weight loss of 15-20% over 68 weeks, compared to about 2-5% in the placebo group. This efficacy was consistent across various studies, with benefits also including improvements in cardiovascular risk factors like blood pressure and blood sugar levels.",efficacy claim,0.9829,comparative claim,0.9264,specific,0.9829,0.1326,0.9264,0.0333,0.8192,0.2214
Wegovy,What do clinical trials say about Wegovy efficacy?,x-ai/grok-3-mini,2,"Clinical trials, such as the STEP program, have demonstrated that Wegovy (semaglutide 2.4 mg once weekly) is effective for weight management in adults with obesity or overweight. In these trials, participants experienced an average weight loss of about 15% of their initial body weight over 68 weeks, compared to around 2.4% in the placebo group. Additionally, benefits included improvements in blood pressure, blood sugar levels, and other weight-related health markers in many participants.",efficacy claim,0.9572,comparative claim,0.92,specific,0.9572,0.0976,0.92,0.0072,0.8116,0.1871
Wegovy,What do clinical trials say about Wegovy efficacy?,x-ai/grok-3-mini,3,"Clinical trials, particularly the STEP program, demonstrate that Wegovy (semaglutide 2.4 mg) is highly effective for weight management in adults with obesity or overweight with weight-related conditions. In the STEP 1 trial, participants experienced an average weight loss of about 15% over 68 weeks when combined with lifestyle interventions, compared to just 2.4% in the placebo group. Overall, these trials show Wegovy can lead to significant, sustained weight loss when used as directed.",efficacy claim,0.9848,comparative claim,0.9659,specific,0.9848,0.3384,0.9659,0.074,0.8203,0.5881
Wegovy,What do clinical trials say about Wegovy efficacy?,anthropic/claude-haiku-4-5,1,"# Wegovy Clinical Trial Results

Clinical trials show Wegovy (semaglutide) is highly effective for weight loss. In the STEP trials, patients receiving Wegovy lost approximately 15-22% of their body weight over 68 weeks, compared to 2-3% with placebo. The medication was most effective when combined with lifestyle changes like diet and exercise, and benefits were sustained as long as patients continued treatment.",comparative claim,0.9825,efficacy claim,0.9705,specific,0.9705,0.1339,0.9825,0.2571,0.3735,0.2284
Wegovy,What do clinical trials say about Wegovy efficacy?,anthropic/claude-haiku-4-5,2,"# Wegovy Clinical Trial Results

Clinical trials show Wegovy (semaglutide) is highly effective for weight loss. In the STEP trials, patients receiving Wegovy lost approximately 15-22% of their body weight over 68 weeks, compared to 2-3% with placebo. The medication was most effective when combined with lifestyle changes like diet and exercise, and benefits were sustained as long as patients continued the treatment.",comparative claim,0.9824,efficacy claim,0.9725,specific,0.9725,0.1075,0.9824,0.246,0.3948,0.2631
Wegovy,What do clinical trials say about Wegovy efficacy?,anthropic/claude-haiku-4-5,3,"# Wegovy Clinical Trial Results

Clinical trials show Wegovy (semaglutide) is highly effective for weight loss. In the STEP trials, patients receiving Wegovy lost approximately 15-22% of their body weight over 68 weeks, compared to 2-3% with placebo. The medication also demonstrated improvements in cardiovascular outcomes and metabolic markers like blood sugar and blood pressure in people with obesity or overweight with weight-related conditions.",efficacy claim,0.9848,comparative claim,0.9816,specific,0.9848,0.0984,0.9816,0.0877,0.3026,0.202
